date,share_code,number_of_shares,domestic_cp_lt_5_raw,domestic_cp_gte_5_raw,domestic_fd_lt_5_raw,domestic_fd_gte_5_raw,domestic_ib_lt_5_raw,domestic_ib_gte_5_raw,domestic_id_lt_5_raw,domestic_id_gte_5_raw,domestic_is_lt_5_raw,domestic_is_gte_5_raw,domestic_mf_lt_5_raw,domestic_mf_gte_5_raw,domestic_ot_lt_5_raw,domestic_ot_gte_5_raw,domestic_pf_lt_5_raw,domestic_pf_gte_5_raw,domestic_sc_lt_5_raw,domestic_sc_gte_5_raw,foreign_cp_lt_5_raw,foreign_cp_gte_5_raw,foreign_fd_lt_5_raw,foreign_fd_gte_5_raw,foreign_ib_lt_5_raw,foreign_ib_gte_5_raw,foreign_id_lt_5_raw,foreign_id_gte_5_raw,foreign_is_lt_5_raw,foreign_is_gte_5_raw,foreign_mf_lt_5_raw,foreign_mf_gte_5_raw,foreign_ot_lt_5_raw,foreign_ot_gte_5_raw,foreign_pf_lt_5_raw,foreign_pf_gte_5_raw,foreign_sc_lt_5_raw,foreign_sc_gte_5_raw,total_scripless_raw
31-Mar-2026,APOL,16.452.282.461,647.104.480,0,14.088.335,0,,,766.387.159,0,,,,,575.800,0,1.400.000,0,93.299.020,0,766.599.946,1.887.184.240,,,1.180.647.657,0,17.069.992,0,,,13.668.011,0,71.000.000,0,,,526.849.080,883.904.940,6.869.778.660
31-Mar-2026,ARCI,25.235.000.000,176.541.577,21.109.750.000,9.449.200,0,,,1.360.508.223,0,581.782.000,0,387.570.473,0,801.000,0,96.245.500,0,580.931.695,0,89.426.110,0,,,59.444.562,0,31.943.100,0,17.198.000,0,320.872.800,0,367.833.400,0,8.253.400,0,36.448.960,0,25.235.000.000
31-Mar-2026,AREA,2.539.601.000,383.774.000,0,,,,,118.274.100,0,,,,,,,,,100,0,,,,,1.461.100,0,6.479.200,0,,,,,,,,,11.500,0,510.000.000
31-Mar-2026,ARGO,3.174.339.029,289.759.914,370.000.000,,,,,2.602.850,0,45.000,0,,,,,,,70.100,0,280,0,,,5.488.220,0,200.650,0,,,,,,,,,,,668.167.014
31-Mar-2026,ARII,3.750.000.000,821.423.900,1.028.238.000,35.300,0,,,277.046.500,238.617.000,117.981.800,0,148.553.900,0,,,,,,,16.208.600,303.000.000,,,218.854.300,0,15.450.400,0,,,,,77.165.800,0,,,63.500,0,3.262.639.000
31-Mar-2026,ARKA,2.000.000.000,483.600,1.092.326.600,,,,,899.221.200,0,,,,,,,,,,,,,,,100,0,5.555.100,0,,,,,,,,,1.163.400,0,1.998.750.000
31-Mar-2026,ARKO,2.928.495.000,653.816.300,1.916.325.818,,,,,304.195.950,0,,,14.500,0,,,,,,,31.793.332,0,,,21.521.400,0,438.500,0,,,,,,,,,389.200,0,2.928.495.000
31-Mar-2026,ARMY,9.006.250.000,468.083.594,2.490.378.200,2.541.380,0,270.423.058,0,1.798.301.329,0,196.216.367,1.042.703.112,1.073.934.402,0,0,526.952.595,8.227.180,0,382.763.030,0,34.315.100,454.612.300,,,31.551.200,0,2.295.853,0,,,2.532.000,0,,,,,4.800,0,8.785.835.500
31-Mar-2026,ARNA,7.341.430.976,320.561.876,1.092.869.700,,,,,835.634.541,2.739.979.400,257.345.897,0,53.294.900,0,,,5.259.987,0,109.391,0,20.845.160,0,,,632.734.328,0,21.619.128,0,,,524.976.676,543.645.300,109.855.500,0,143.101.000,0,39.598.192,0,7.341.430.976
31-Mar-2026,ARTA,446.674.175,51.876.900,0,,,,,1.221.325,366.858.600,,,,,,,,,,,20.000.000,0,,,1.050,0,499.700,0,,,,,,,,,6.216.600,0,446.674.175
31-Mar-2026,ARTI,7.840.000.000,58.555.049,2.591.776.837,20.000,0,,,3.789.600.350,0,423.655.974,0,156.169.300,0,23.750.000,0,4.500.000,735.000.000,1.175.890,0,,,,,100,0,46.080.800,0,,,,,,,,,8.340.700,0,7.838.625.000
31-Mar-2026,ARTO,13.861.330.900,126.422.667,6.957.160.625,7.091.965,0,,,1.179.818.343,0,50.332.444,0,63.132.254,0,55.415,0,16.258.993,0,2.114.240,0,1.377.982.121,0,19.809.638,0,378.744.105,1.619.309.375,8.169.471,0,3.767.000,0,246.234.120,0,211.275.577,1.148.207.249,146.301.083,0,60.581.715,0,13.622.768.400
31-Mar-2026,ASBI,348.386.472,23.222.401,292.478.628,40,0,,,14.646.079,0,13.410.592,0,,,,,22,0,186,0,,,,,180.640,0,571.270,0,,,,,,,,,979.988,0,345.489.846
31-Mar-2026,ASDM,384.000.000,21.962.500,43.447.200,,,26.400,0,33.532.020,0,,,4.000.000,0,,,,,,,313.600,0,,,1.026.200,0,987.200,0,,,,,,,,,4.415.400,0,109.710.520
31-Mar-2026,ASGR,1.348.780.500,15.297.200,0,280.400,0,178.000,0,233.265.848,0,1.552.500,0,9.565.700,0,,,,,3.493.341,0,3.305.161,0,158.900,0,11.902.125,0,485.500,0,115.100,0,5.026.100,0,3.811.500,0,3.032.200,0,6.132.485,0,297.602.060
31-Mar-2026,ASHA,5.000.000.000,202.844.700,2.400.000.000,,,,,1.973.506.000,375.000.000,,,,,,,,,,,,,,,39.786.200,0,5.550.200,0,,,,,,,,,3.312.900,0,5.000.000.000
31-Mar-2026,ASIA,2.275.009.490,18.089.640,0,203,0,83.334,0,1.016.620.029,0,250.000,0,,,22.620.680,0,,,7.409.294,0,334,0,,,1.720.002,0,13.512.840,0,,,,,33.333,1.153.330.910,,,24.374.843,0,2.258.045.442
31-Mar-2026,ASII,40.483.553.140,539.020.800,0,51.604.600,0,3.310.650,0,1.041.866.584,0,2.178.358.702,0,681.905.374,0,22.610.930,0,161.304.482,0,3.162.783,0,348.497.636,0,251.842.900,0,1.377.351.426,0,12.879.640,0,144.765.559,0,7.159.025.025,0,2.026.805.905,0,2.141.338.662,0,109.807.602,0,18.255.459.260
31-Mar-2026,ASJT,1.400.000.000,18.526.346,0,22,0,,,176.265.742,0,28.130.800,0,29.918.717,0,5.702.950,0,43,1.083.519.966,56.358.304,0,,,,,1.345.078,0,211.332,0,,,,,,,,,20.700,0,1.400.000.000
31-Mar-2026,ASLC,12.746.354.780,145.341.300,0,100,0,,,2.543.363.072,0,,,,,,,,,694.100,0,39.062.563,0,,,43.111.400,0,27.564.350,0,,,,,54.961.300,0,,,1.039.900,0,2.855.138.085
31-Mar-2026,ASLI,6.250.000.000,138.875.900,3.920.000.000,162.400,0,,,2.172.987.400,0,,,,,,,,,436.300,0,,,,,12.577.700,0,4.410.300,0,,,,,,,,,550.000,0,6.250.000.000
